coarse_pos,n_tokens,mean_future_attn,median_future_attn,mean_total_share,mean_attn_sink_z,mean_rank_pct
VERB_OR_ADJ,353,0.029928452387404637,0.025038203224539757,0.015037095939302579,-0.23694583753238732,0.6929960664471537
NOUN,1001,0.013752672169892514,0.013414415530860424,0.020213799822106065,-0.3199595365979645,0.4794670801119593
OTHER_LEXICAL,9,0.01328588504758146,0.013580018654465675,0.013706457387242053,-0.1906616608390991,0.7603228460957491
JOSA,304,0.012100579931651928,0.011942850891500711,0.020121994549347284,-0.32812324486787403,0.4271695299713956
AUX_OR_SUFFIX,89,0.011700669191045206,0.012330475263297558,0.02224375662822904,-0.3880892073086568,0.20663877944776823
MODIFIER,20,0.006032518716529012,0.005938791902735829,0.007881398778408766,-0.22398333125943332,0.41662736275329976
PUNCT_OR_SYMBOL,180,,,0.024547666588073804,,
