group_col,group_value,metric,n_josa,n_nonjosa,mean_josa,mean_nonjosa,diff
position_bin,Q1_EARLY,max_abs,37,395,24.37162162162162,20.196518987341772,4.175102634279849
position_bin,Q2,max_abs,108,388,24.42361111111111,21.603656572164947,2.8199545389461633
position_bin,Q3,max_abs,135,348,21.711111111111112,18.765894396551722,2.9452167145593897
position_bin,Q4_LATE,max_abs,24,521,19.395833333333332,20.15001199616123,-0.754178662827897
char_len_bin,LEN1,max_abs,189,859,22.201719576719576,21.30951688009313,0.8922026966264447
char_len_bin,LEN2,max_abs,104,481,23.80829326923077,17.905340436590436,5.902952832640334
char_len_bin,LEN3_4,max_abs,11,303,23.982954545454547,20.715552805280527,3.2674017401740194
char_len_bin,LEN5PLUS,max_abs,0,9,,21.59722222222222,
position_bin,Q1_EARLY,zmax,37,395,18.691329079705316,15.34730226420149,3.3440268155038257
position_bin,Q2,zmax,108,388,18.732969672591597,16.474341873041134,2.2586277995504638
position_bin,Q3,zmax,135,348,16.56040672019676,14.201450827477993,2.3589558927187664
position_bin,Q4_LATE,zmax,24,521,14.705997029940287,15.310052613607981,-0.6040555836676944
char_len_bin,LEN1,zmax,189,859,16.953357075888015,16.238752148065355,0.7146049278226592
char_len_bin,LEN2,zmax,104,481,18.2401340007782,13.512194612665633,4.727939388112565
char_len_bin,LEN3_4,zmax,11,303,18.380028464577414,15.763019615274057,2.6170088493033568
char_len_bin,LEN5PLUS,zmax,0,9,,16.469188160366482,
position_bin,Q1_EARLY,received_attn_future_mean,37,395,0.009658099642979938,0.014574686980134324,-0.004916587337154386
position_bin,Q2,received_attn_future_mean,108,388,0.01224751555128023,0.01206847167929116,0.00017904387198906975
position_bin,Q3,received_attn_future_mean,135,348,0.012179569468868,0.011700272341673637,0.00047929712719436274
position_bin,Q4_LATE,received_attn_future_mean,24,341,0.014760543941520154,0.03255568413184055,-0.017795140190320392
char_len_bin,LEN1,received_attn_future_mean,189,679,0.011799013590755523,0.01337820473583127,-0.0015791911450757472
char_len_bin,LEN2,received_attn_future_mean,104,481,0.01217266653950971,0.02274572039303794,-0.01057305385352823
char_len_bin,LEN3_4,received_attn_future_mean,11,303,0.016600491860034792,0.018048468456993944,-0.0014479765969591524
char_len_bin,LEN5PLUS,received_attn_future_mean,0,9,,0.01328588504758146,
position_bin,Q1_EARLY,attn_sink_z_future,37,395,-0.25331072078310424,-0.32385114442218804,0.0705404236390838
position_bin,Q2,attn_sink_z_future,108,388,-0.3543653617148256,-0.32703830920468707,-0.027327052510138505
position_bin,Q3,attn_sink_z_future,135,348,-0.3535387067368927,-0.3242097295789541,-0.029328977157938585
position_bin,Q4_LATE,attn_sink_z_future,24,341,-0.18240772067404887,-0.2258647680206666,0.04345704734661773
char_len_bin,LEN1,attn_sink_z_future,189,679,-0.32667188546818354,-0.3177351033235625,-0.00893678214462107
char_len_bin,LEN2,attn_sink_z_future,104,481,-0.3280362131534693,-0.27599350264093286,-0.05204271051253645
char_len_bin,LEN3_4,attn_sink_z_future,11,303,-0.3538830834896553,-0.3117028809642466,-0.042180202525408717
char_len_bin,LEN5PLUS,attn_sink_z_future,0,9,,-0.1906616608390991,
