condition,n,mean_delta_loss,mean_delta_loss_per_token,median_delta_loss_per_token,mean_n_quantized_tokens
matched_josa_only,1480,0.1161623669637216,0.039362111979162985,0.017415651253291538,4.108108108108108
matched_nonjosa_only,1480,0.09931659408517786,0.029387833663242054,0.022597031933920722,4.108108108108108
matched_random_non_special,1480,0.08744196924003395,0.025110611390947325,0.012996298926217216,4.108108108108108
all_non_special,1800,0.4189565141995748,0.02421337093691645,0.01595351957913601,21.733333333333334
