coarse_pos,n_tokens,mean_max_abs,median_max_abs,mean_zmax,mean_norm,mean_outlier_ratio,mean_topk_share
AUX_OR_SUFFIX,89,26.65870786516854,27.375,20.523159294985653,90.86410839638013,0.006002019115022562,0.11587508725986052
PUNCT_OR_SYMBOL,180,23.35763888888889,23.625,17.87918479177687,87.71490597195096,0.005917245496271385,0.11941470988094807
JOSA,304,22.81578947368421,22.75,17.445193212283286,88.57491970062256,0.005870083091921467,0.11261969107497287
OTHER_LEXICAL,9,21.59722222222222,21.375,16.469188160366482,87.74070315890842,0.004593460768875148,0.0860430176059405
NOUN,1001,19.796391108891108,20.5,15.026821861019382,90.10549333021714,0.004772571315065484,0.08822676807001874
VERB_OR_ADJ,353,18.283109065155806,18.875,13.81476641106538,89.4839718308057,0.0030532564162197534,0.06821934937924232
MODIFIER,20,17.3515625,18.0625,13.068649077415467,90.30838546752929,0.004492187620780896,0.08044512458145618
